Materials-1,Materials-2,Electrolyte,Voltage window (V),Specific surface area (m2/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %),Capacitance (F/g),is_composite,has_material_note,mat1_enc,mat2_enc,elec_enc
graphene,none,teabf4,2.7,3100.0,2.14,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0,32,5,23
graphene,none,emitfsi,3.5,3100.0,2.14,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,32,5,6
graphene,none,bmimbf4,3.5,2675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0,0,32,5,0
porous carbon,none,koh,1.0,883.0,0.0,7.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,289.0,0,0,36,5,14
carbon xerogel,cnt,koh,0.9,2158.0,0.68,1.9,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,1,0,30,2,14
AC,none,koh,0.8,1759.0,0.93,2.7,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0,0,3,5,14
AC,none,koh,0.8,1452.0,0.81,4.63,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0,0,3,5,14
AC,none,lipf6,2.4,2218.0,1.15,2.25,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0,0,3,5,17
AC,none,lipf6,2.4,1759.0,0.93,2.7,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0,0,3,5,17
AC,none,lipf6,2.4,1622.0,0.86,2.7,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0,0,3,5,17
AC,none,lipf6,2.4,1452.0,0.81,4.63,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0,0,3,5,17
AC,none,et3menbf4,2.4,2218.0,1.15,2.25,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0,0,3,5,7
AC,none,et3menbf4,2.4,1759.0,0.93,2.7,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0,0,3,5,7
AC,none,et3menbf4,2.4,1622.0,0.86,2.7,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,3,5,7
AC,none,et3menbf4,2.4,1452.0,0.81,4.63,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0,0,3,5,7
porous carbon,none,lipf6,2.5,810.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0,0,36,5,17
porous carbon,cnt,lipf6,2.5,1340.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1,0,36,2,17
